EMP_Micro,EMP_Meso,EMP_Macro,STN_Meso,STN_Macro,FMWT_Meso,FMWT_Macro,twentymm_Meso,FRP_Meso,FRP_Macro,YBFMP,LI_Meso,LI_Micro,Lifestage,Taxname,Level,Phylum,Class,Order,Family,Genus,Species,Intro,EMPstart,EMPend,FMWTstart,FMWTend,twentymmstart,twentymmend,twentymmstart2,IBMR
NA,NA,NA,NA,NA,NA,NA,NA,Gnorimosphaeroma,Gnorimosphaeroma,NA,NA,NA,Adult,Isopoda,Order,Arthropoda,Malacostraca,Isopoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Isopods,Isopods,NA,NA,NA,Adult,Isopoda,Order,Arthropoda,Malacostraca,Isopoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Isopod other,Isopod other,NA,NA,NA,Adult,Ligidium lates??,Species,Arthropoda,Malacostraca,Isopoda,Ligiidae,Ligidium,lates??,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Juvenile Isopod,Juvenile Isopod,NA,NA,NA,Adult,Munnidae,Family,Arthropoda,Malacostraca,Isopoda,Munnidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Ligidium,Ligidium,NA,NA,NA,Juvenile,Isopoda,Order,Arthropoda,Malacostraca,Isopoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Munnidae,Munnidae,NA,NA,NA,Undifferentiated,Isopoda,Order,Arthropoda,Malacostraca,Isopoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mysidae undifferentiated,NA,NA,Adult,Alienacanthomysis macropsis,Species,Arthropoda,Malacostraca,Mysida,Mysidae,Alienacanthomysis,macropsis,NA,1/1/1994,NA,NA,NA,NA,NA,NA,other
NA,NA,A_macropsis,NA,Alienacanthomysis macropsis,NA,Alienacanthomysis_macropsis,NA,Acanthomysis macropsis,Acanthomysis macropsis,NA,NA,NA,Adult,Deltamysis holmquistae,Species,Arthropoda,Malacostraca,Mysida,Mysidae,Deltamysis,holmquistae,1/1/1977,1/1/1979,NA,NA,NA,NA,NA,NA,other
NA,NA,D_holmquistae,NA,Deltamysis holmquistae,NA,Deltamysis_holmquistae,NA,Deltamysis homquistae,Deltamysis homquistae,NA,NA,NA,Adult,Hyperacanthomysis longirostris,Species,Arthropoda,Malacostraca,Mysida,Mysidae,Hyperacanthomysis,longirostris,1/1/1993,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Acanthomysis bowmani,Acanthomysis bowmani,NA,NA,NA,Adult,Hyperacanthomysis longirostris,Species,Arthropoda,Malacostraca,Mysida,Mysidae,Hyperacanthomysis,longirostris,1/1/1993,1/1/1993,NA,NA,NA,NA,NA,NA,other
NA,NA,H_longirostris,NA,Hyperacanthomysis longirostris,NA,Hyperacanthomysis_longirostris,NA,Hyperacanthomysis longirostris,Hyperacanthomysis longirostris,NA,NA,NA,Adult,Mysida,Order,Arthropoda,Malacostraca,Mysida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,Unidentified_mysid,NA,Unidentified Mysid,NA,Unidentified_Mysid,NA,Mysid Other,Mysid Other,NA,NA,NA,Adult,Neomysis kadiakensis,Species,Arthropoda,Malacostraca,Mysida,Mysidae,Neomysis,kadiakensis,NA,1/1/1980,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Juvenile Mysid,Juvenile Mysid,NA,NA,NA,Adult,Neomysis mercedis,Species,Arthropoda,Malacostraca,Mysida,Mysidae,Neomysis,mercedis,NA,1/1/1972,NA,NA,NA,NA,NA,NA,other
NA,NA,N_kadiakensis,NA,Neomysis kadiakensis,NA,Neomysis_kadiakensis,NA,Neomysis kadiakensis,Neomysis kadiakensis,NA,NA,NA,Adult,Orientomysis aspera,Species,Arthropoda,Malacostraca,Mysida,Mysidae,Orientomysis,Orientomysis aspera,1/1/1992,1/1/1992,NA,NA,NA,NA,NA,NA,other
NA,NA,N_mercedis,NA,Neomysis mercedis,NA,Neomysis_mercedis,NA,Neomysis mercedis,Neomysis mercedis,NA,NA,NA,Adult,Orientomysis hwanhaiensis,Species,Arthropoda,Malacostraca,Mysida,Mysidae,Orientomysis,hwanhaiensis,1/1/1997,1/1/1993,NA,NA,NA,NA,NA,NA,other
NA,NA,A_aspera,NA,Acanthomysis aspera,NA,Acanthomysis_aspera,Acanthomysis aspera,Acanthomysis aspera,Acanthomysis aspera,NA,NA,NA,Juvenile,Mysida,Order,Arthropoda,Malacostraca,Mysida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,A_hwanhaiensis,NA,Acanthomysis hwanhaiensis,NA,Acanthomysis_hwanhaiensis,NA,Acanthomysis hwanhaiensis,Acanthomysis hwanhaiensis,NA,NA,NA,Undifferentiated,Mysidae,Family,Arthropoda,Malacostraca,Mysida,Mysidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Tanaid,Tanaid,NA,NA,NA,Undifferentiated,Malacostraca,Class,Arthropoda,Malacostraca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Malcostraca Other,Malcostraca Other,NA,NA,NA,Undifferentiated,Tanaidacea,Order,Arthropoda,Malacostraca,Tanaidacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ostracoda undifferentiated,NA,NA,Larva,Arthropoda,Phylum,Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,OSTRACOD,NA,OSTRACOD,NA,Ostracods,Ostracods,Ostracods,NA,NA,NA,Adult,Ostracoda,Class,Arthropoda,Ostracoda,NA,NA,NA,NA,NA,NA,NA,1/1/2002,NA,1/1/1995,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arthropoda nauplius,NA,NA,Undifferentiated,Ostracoda,Class,Arthropoda,Ostracoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Magnificent Bryozoan,Magnificent Bryozoan,NA,NA,NA,Adult,Pectinatella magnifica,Species,Bryozoa,Phylactolaemata,Plumatellida,Pectinatellidae,Pectinatella,magnifica,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Actinopterygii larva,NA,NA,Adult,Actinopterygii,Class,Chordata,Actinopterygii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Actinopterygii undifferentiated,NA,NA,Larva,Actinopterygii,Class,Chordata,Actinopterygii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Fish,Fish,NA,NA,NA,Undifferentiated,Actinopterygii,Class,Chordata,Actinopterygii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Teleosti,Teleosti,Egg,Chordata,Phylum,Chordata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Fish Eggs,Fish Eggs,Actinopterygii eggs,NA,NA,Undifferentiated,Teleostei,Class,Chordata,Teleostei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Hydra,Hydra,NA,NA,NA,Adult,Hydra,Genus,Cnidaria,Hydrozoa,Hydrida,Hydridae,Hydra,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Aequorea spp.,Aequorea spp.,NA,NA,NA,Undifferentiated,Aequorea,Genus,Cnidaria,Hydrozoa,Leptothecata,Aequoreidae,Aequorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Maeotias,Maeotias,NA,NA,NA,Undifferentiated,Maeotias,Genus,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Maeotias,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Moon Jellyfish,Moon Jellyfish,NA,NA,NA,Undifferentiated,Cnidaria,Phylum,Cnidaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Cnidaria Other,Cnidaria Other,NA,NA,NA,Undifferentiated,Cnidaria,Phylum,Cnidaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Jellyfish Unid,Jellyfish Unid,NA,NA,NA,Undifferentiated,Aurelia,Genus,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
BARNNAUP,BARNNAUP,NA,BARNNAUP,NA,BARNNAUP,NA,barnacle nauplii,Barnacle Nauplii,Barnacle Nauplii,Cirripedia nauplius,NA,NA,Larva,Cirripedia,Infraclass,Euarthropoda,Cirripedia,NA,NA,NA,NA,NA,1/1/1972,NA,1/1/1972,NA,1/1/1995,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Potamocorbula,Potamocorbula,NA,NA,NA,Adult,Potamocorbula amurensis,Species,Mollusca,Bivalvia,Myoida,Corbulidae,Potamocorbula,amurensis,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Corbicula,Corbicula,NA,NA,NA,Adult,Bivalvia,Class,Mollusca,Bivalvia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Clam Juvenile,Clam Juvenile,Bivalvia larva,NA,NA,Adult,Bivalvia,Class,Mollusca,Bivalvia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Clam UNID,Clam UNID,Bivalvia undifferentiated,Bivalvia,Bivalvia,Juvenile,Bivalvia,Class,Mollusca,Bivalvia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Juvenile Clam,Juvenile Clam,NA,NA,NA,Juvenile,Bivalvia,Class,Mollusca,Bivalvia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Clam Other,Clam Other,NA,NA,NA,Undifferentiated,Bivalvia,Class,Mollusca,Bivalvia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,clam other,clam other,NA,NA,NA,Adult,Corbicula fluminea,Species,Mollusca,Bivalvia,Veneroida,Corbiculidae,Corbicula,fluminea,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Fluminicola,Fluminicola,NA,NA,NA,Adult,Fluminicola,Genus,Mollusca,Gastopoda,Littorinimorpha,Lythoglyphidae,Fluminicola,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Fossaria,Fossaria,NA,NA,NA,Adult,Galba,Genus,Mollusca,Gastropoda,Basommatophora,Lymnaeidae,Galba,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Lymnaea,Lymnaea,NA,NA,NA,Adult,Lymnaea,Genus,Mollusca,Gastropoda,Basommatophora,Lymnaeidae,Lymnaea,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Melanoides tuberculata,Melanoides tuberculata,NA,NA,NA,Adult,Melanoides tuberculata,Species,Mollusca,Gastropoda,Caenogastropoda,Thiaridae,Melanoides,tuberculata,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Gyraulus,Gyraulus,NA,NA,NA,Adult,Gyraulus,Genus,Mollusca,Gastropoda,Hygrophila,Planorbidae,Gyraulus,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Physa,Physa,NA,NA,NA,Adult,Physa,Genus,Mollusca,Gastropoda,Hygrophila,Physidae,Physa,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Planorbella,Planorbella,NA,NA,NA,Adult,Planorbella,Genus,Mollusca,Gastropoda,Hygrophila,Planorbidae,Planorbella,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Planorbidae UNID,Planorbidae UNID,NA,NA,NA,Adult,Planorbidae,Family,Mollusca,Gastropoda,Hygrophila,Planorbidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,limpet,limpet,NA,NA,NA,Adult,Ferrissia californica,Species,Mollusca,Gastropoda,Limnophila,Ancylus,Ferrissia,californica,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Hydrobiidae,Hydrobiidae,NA,NA,NA,Adult,Hydrobiidae,Family,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Nudibranch,Nudibranch,NA,NA,NA,Adult,Gastropoda,Class,Mollusca,Gastropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca undifferentiated,Gastropoda,Gastropoda,Adult,Gastropoda,Class,Mollusca,Gastropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca larva,NA,NA,Adult,Gastropoda,Class,Mollusca,Gastropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Snail UNID,Snail UNID,NA,NA,NA,Juvenile,Gastropoda,Class,Mollusca,Gastropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Snail Other,Snail Other,NA,NA,NA,Undifferentiated,Mollusca,Class,Mollusca,Gastropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Slug,Slug,NA,NA,NA,Undifferentiated,Nudibranchia,Order,Mollusca,Gastropoda,Nudibranchia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Nematode,Nematode,NA,NA,NA,Adult,UnID Invertebrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Prostoma,Prostoma,NA,NA,NA,Egg,Egg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Nemertea,Nemertea,NA,NA,NA,Egg,UNID,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Planaria,Planaria,NA,NA,NA,Undifferentiated,Animal material UNID,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
ASPLANCH,ASPLANCH,NA,ASPLANCH,NA,ASPLANCH,NA,Asplanchna,Asplanchna,Asplanchna,NA,NA,NA,Undifferentiated,Nematoda,Phylum,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Branchionus,Branchionus,NA,NA,NA,Undifferentiated,Prostoma,Genus,Nemertea,Enopla,Monostilifera,Tetrastemmatidae,Prostoma,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Kellicottia,Kellicottia,NA,NA,NA,Undifferentiated,Nemertea,Phylum,Nemertea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
KERATELA,KERATELA,NA,KERATELA,NA,KERATELA,NA,Keratella,Keratella,Keratella,NA,NA,NA,Undifferentiated,Girardia tigrina,Species,Platyhelminthes,Rhabditophora,Tricladida,Dugesiidae,Girardia,tigrina,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Platyias,Platyias,NA,NA,NA,Adult,Asplanchna,Genus,Rotifera,Eurotatoria,Ploima,Asplanchnidae,Asplanchna,NA,NA,1/1/1972,NA,1/1/1972,NA,NA,NA,NA,other
POLYARTH,POLYARTH,NA,POLYARTH,NA,POLYARTH,NA,Polyarthra,Polyarthra,Polyarthra,NA,NA,NA,Adult,Branchionus,Genus,Rotifera,Eurotatoria,Ploima,Brachionidae,Branchionus,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
SYNCH,SYNCH,NA,SYNCH,NA,SYNCH,NA,Synchaeta,Synchaeta,Synchaeta,NA,NA,NA,Adult,Kellicottia,Genus,Rotifera,Eurotatoria,Ploima,Brachionidae,Kellicottia,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
SYNCHBIC,SYNCHBIC,NA,NA,NA,NA,NA,Synchaeta bicornis,Synchaeta bicornis,Synchaeta bicornis,NA,NA,NA,Adult,Keratella,Genus,Rotifera,Eurotatoria,Ploima,Brachionidae,Keratella,NA,NA,1/1/1972,NA,1/1/1972,NA,NA,NA,NA,other
TRICHO,TRICHO,NA,TRICHO,NA,TRICHO,NA,Trichocerca,Trichocerca,Trichocerca,NA,NA,NA,Adult,Platyias,Genus,Rotifera,Eurotatoria,Ploima,Brachionidae,Platyias,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rotifera undifferentiated,NA,Rotifera,Adult,Polyarthra,Genus,Rotifera,Eurotatoria,Ploima,Synchaetidae,Polyarthra,NA,NA,1/1/1972,NA,1/1/1972,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,Unid rotifer,NA,NA,NA,NA,NA,Adult,Synchaeta,Genus,Rotifera,Eurotatoria,Ploima,Synchaetidae,Synchaeta,NA,NA,1/1/1972,NA,1/1/1972,NA,NA,NA,NA,other
OTHROT,OTHROT,NA,OTHROT,NA,OTHROT,NA,Other rotifer,Rotifer Other,Rotifer Other,NA,NA,NA,Adult,Synchaeta bicornis,Species,Rotifera,Eurotatoria,Ploima,Synchaetidae,Synchaeta,Synchaeta bicornis,NA,1/1/1972,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Tardigrade,Tardigrade,NA,NA,NA,Adult,Trichocerca,Genus,Rotifera,Eurotatoria,Ploima,Trichocercidae,Trichocerca,NA,NA,1/1/1972,NA,1/1/1972,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tardigrada,Tardigrada,Adult,Rotifera,Phylum,Rotifera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Invertebrate UNID,Invertebrate UNID,Unidentified undifferentiated,NA,NA,Adult,Rotifera,Phylum,Rotifera,NA,NA,NA,NA,NA,NA,1/1/1972,NA,1/1/1972,NA,1/1/1995,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Animal material UNID,Animal material UNID,NA,Other,Other,Undifferentiated,Rotifera,Phylum,Rotifera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Eggs UNID,Eggs UNID,NA,NA,NA,Adult,Tardigrada,Phylum,Tardigrada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
NA,NA,NA,NA,NA,NA,NA,NA,Egg Sacs,Egg Sacs,NA,NA,NA,Undifferentiated,Tardigrada,Phylum,Tardigrada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,other
